                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.2861,                0.76648,                 1.2208,                0.90161,                 0.9154,                0.94675,                0.60613,                 1.1778,                0.64057,                 1.2847,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.2872,                0.76761,                 1.2219,                0.89816,                0.81861,                0.89967,                0.55382,                 1.2968,                0.72712,                 1.3502,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.2818,                0.76427,                 1.2169,                0.91373,                 0.8417,                 0.9141,                0.55754,                 1.2928,                0.73117,                 1.3353,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.2699,                0.75781,                 1.2195,                0.95215,                0.85095,                0.94597,                0.59828,                 1.2239,                0.65415,                 1.3162,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.2627,                0.75148,                 1.2136,                0.87775,                0.90349,                0.94062,                0.58466,                 1.2493,                0.66173,                 1.3195,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.2625,                0.76009,                 1.2083,                0.91181,                 0.8494,                0.90644,                0.55378,                 1.3187,                0.72948,                 1.3564,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.2549,                0.74025,                 1.2023,                0.92757,                0.88535,                0.94908,                0.59875,                 1.2352,                0.65104,                  1.298,               0.009208,               0.009208,               0.009208
                     83,                 1.2557,                0.74519,                 1.2107,                0.93152,                0.85699,                0.94932,                 0.6165,                 1.1981,                0.64898,                 1.2832,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.2415,                0.73848,                 1.2002,                 0.9098,                0.88913,                0.93161,                0.57031,                 1.2753,                0.70274,                 1.3283,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.2484,                0.73709,                 1.1977,                0.88934,                0.86241,                0.91329,                0.56937,                 1.2574,                0.73332,                  1.329,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.2441,                0.73346,                 1.1957,                0.91145,                0.85131,                0.92928,                0.59598,                 1.2221,                0.67362,                 1.2955,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.2483,                0.74362,                 1.1946,                0.93398,                 0.8417,                0.92618,                0.59107,                 1.2438,                0.67419,                 1.3067,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.2429,                0.74355,                 1.1994,                0.94562,                0.85421,                0.93666,                0.61257,                 1.2195,                0.66297,                 1.3018,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.2319,                0.72254,                 1.1927,                0.93764,                0.87882,                0.94442,                0.59563,                 1.2583,                0.65071,                 1.3096,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.2316,                0.72604,                 1.1928,                0.88717,                0.89408,                0.93737,                0.59984,                 1.2154,                0.65948,                 1.2845,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.2349,                0.72528,                 1.1864,                0.91589,                0.88208,                0.95145,                0.60305,                 1.2435,                0.64693,                 1.3071,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.2233,                 0.7167,                 1.1842,                0.93313,                0.88117,                0.94582,                0.61141,                 1.1838,                0.62187,                 1.2688,               0.009109,               0.009109,               0.009109
                     93,                 1.2194,                0.71322,                 1.1865,                0.91148,                0.89049,                0.94534,                0.59605,                 1.2314,                 0.6797,                 1.2994,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.2167,                0.71123,                 1.1843,                0.93103,                0.86174,                0.93579,                0.59275,                 1.2188,                0.69587,                 1.2985,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.2122,                0.71273,                 1.1802,                0.94154,                0.86349,                0.93773,                0.61237,                 1.1872,                0.63629,                 1.2662,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.2057,                0.70642,                 1.1727,                0.92474,                0.88656,                0.94783,                0.60865,                   1.22,                0.63698,                 1.2932,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.2102,                0.70694,                 1.1733,                0.92304,                0.90355,                0.95299,                0.62543,                 1.1819,                0.61458,                 1.2648,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.1961,                0.70027,                 1.1712,                0.94038,                0.88753,                0.95047,                0.60817,                 1.2274,                0.63627,                 1.2949,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.2039,                0.70189,                 1.1729,                0.92579,                0.86063,                0.94002,                0.59707,                 1.2446,                0.65774,                 1.3104,              0.0090397,              0.0090397,              0.0090397
                    100,                    1.2,                0.70477,                 1.1652,                0.92926,                0.89161,                0.94779,                0.61253,                 1.2127,                0.64901,                 1.2851,              0.0090298,              0.0090298,              0.0090298
